Campaign,Ad Group,Keyword,Match Type
"Szempilla_V2.0","Szempilla lifting","szempilla lifting zugló","Exact"
"Szempilla_V2.0","Szempilla lifting","szempilla lifting budapest","Exact"
"Szempilla_V2.0","Szempilla lifting","koreai szempilla lifting","Exact"
"Szempilla_V2.0","Szempilla lifting","szempilla lifting 14. kerület","Exact"
"Szempilla_V2.0","Szempilla lifting","lash lift budapest","Exact"
"Szempilla_V2.0","Szempilla lifting","szempilla lifting","Phrase"
"Szempilla_V2.0","Szempilla lifting","koreai szempilla lifting","Phrase"
"Szempilla_V2.0","Szempilla lifting","szempilla emelés","Phrase"
"Szempilla_V2.0","Szempilla lifting","lash lift","Phrase"
"Szempilla_V2.0","Szempilla lifting","szempilla lifting és festés","Phrase"
"Szempilla_V2.0","Szemöldök laminálás","szemöldök laminálás zugló","Exact"
"Szempilla_V2.0","Szemöldök laminálás","szemöldök laminálás budapest","Exact"
"Szempilla_V2.0","Szemöldök laminálás","szemöldök laminálás 14. kerület","Exact"
"Szempilla_V2.0","Szemöldök laminálás","koreai szemöldök laminálás","Exact"
"Szempilla_V2.0","Szemöldök laminálás","brow lamination budapest","Exact"
"Szempilla_V2.0","Szemöldök laminálás","szemöldök laminálás","Phrase"
"Szempilla_V2.0","Szemöldök laminálás","szemöldök laminálás festés","Phrase"
"Szempilla_V2.0","Szemöldök laminálás","szemöldök fixálás","Phrase"
"Szempilla_V2.0","Szemöldök laminálás","brow lamination","Phrase"
"Szempilla_V2.0","Szemöldök laminálás","laminálás szemöldök","Phrase"
